epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,85.6884,0.77349,2.38487,0.21793,1.8318,0.97812,0.01083,0.92857,0.59127,0.32109,0.00417,0.35714,0.14727,0.03633,1.40336,6.67531,0.48061,2.83032,1.45996,0.000386152,0.000386152,0.000386152
28,88.7596,0.79327,2.18409,0.25325,1.74295,0.90433,0.01083,0.92857,0.59127,0.32109,0.00417,0.35714,0.14727,0.03633,1.40336,6.67531,0.48061,2.83032,1.45996,0.000395658,0.000395658,0.000395658
29,91.8378,1.04246,3.48786,0.41886,1.86241,1.00905,0.01083,0.92857,0.537,0.29594,0.00417,0.35714,0.13092,0.03808,1.52232,6.93655,0.50153,2.86525,1.58057,0.000404768,0.000404768,0.000404768
30,94.8048,0.99863,2.21869,0.41341,2.38652,1.23971,0.01083,0.92857,0.537,0.29594,0.00417,0.35714,0.13092,0.03808,1.52232,6.93655,0.50153,2.86525,1.58057,0.000413482,0.000413482,0.000413482
31,97.9774,0.97773,3.14992,0.33012,2.03825,1.06987,0.01083,0.92857,0.50688,0.27255,0.00417,0.35714,0.13328,0.03149,1.49854,7.18142,0.49901,2.85208,1.55949,0.0004218,0.0004218,0.0004218
32,100.95,0.8963,2.71082,0.32234,1.69612,0.98244,0.01083,0.92857,0.50688,0.27255,0.00417,0.35714,0.13328,0.03149,1.49854,7.18142,0.49901,2.85208,1.55949,0.000429722,0.000429722,0.000429722
33,104.011,0.93237,2.44525,0.2256,1.89217,0.93819,0.01,0.85714,0.5283,0.23797,0.005,0.42857,0.17562,0.03448,1.52587,7.43458,0.49219,2.84966,1.55649,0.000437248,0.000437248,0.000437248
34,107.035,0.85405,3.38871,0.40319,1.59274,0.93045,0.01,0.85714,0.5283,0.23797,0.005,0.42857,0.17562,0.03448,1.52587,7.43458,0.49219,2.84966,1.55649,0.000444378,0.000444378,0.000444378
35,110.153,0.84565,3.91145,0.28074,1.84397,1.0888,0.01083,0.92857,0.5606,0.21981,0.00417,0.35714,0.17928,0.03634,1.58437,7.65892,0.48892,2.86867,1.52504,0.000451112,0.000451112,0.000451112
36,113.207,1.20088,3.89168,0.33633,1.75889,1.05942,0.01083,0.92857,0.5606,0.21981,0.00417,0.35714,0.17928,0.03634,1.58437,7.65892,0.48892,2.86867,1.52504,0.00045745,0.00045745,0.00045745
37,116.265,1.06556,3.80542,0.33938,1.82208,1.06326,0.01083,0.92857,0.51987,0.23911,0.0025,0.21429,0.14826,0.03383,1.62871,7.75334,0.47081,2.84592,1.56481,0.000463392,0.000463392,0.000463392
38,119.375,0.93525,2.95576,0.30307,1.53316,0.94529,0.01083,0.92857,0.51987,0.23911,0.0025,0.21429,0.14826,0.03383,1.62871,7.75334,0.47081,2.84592,1.56481,0.000468938,0.000468938,0.000468938
39,122.49,0.87387,3.75178,0.42671,1.61038,1.02751,0.01083,0.92857,0.46792,0.26061,0.00333,0.28571,0.16308,0.02431,1.64052,7.74424,0.48275,2.83761,1.61714,0.000474088,0.000474088,0.000474088
40,125.485,0.91316,2.98716,0.25194,1.65696,1.13135,0.01083,0.92857,0.46792,0.26061,0.00333,0.28571,0.16308,0.02431,1.64052,7.74424,0.48275,2.83761,1.61714,0.000478842,0.000478842,0.000478842
41,128.66,0.91444,3.67751,0.29392,1.34333,0.92194,0.01083,0.92857,0.43489,0.23078,0.00333,0.28571,0.15958,0.02013,1.64029,7.74167,0.50264,2.81058,1.65064,0.0004832,0.0004832,0.0004832
42,131.634,1.15445,3.60501,0.29692,1.75364,1.25605,0.01083,0.92857,0.43489,0.23078,0.00333,0.28571,0.15958,0.02013,1.64029,7.74167,0.50264,2.81058,1.65064,0.000487162,0.000487162,0.000487162
43,134.705,0.73557,2.88369,0.36639,1.30538,1.03981,0.01,0.85714,0.39723,0.22728,0.00333,0.28571,0.14871,0.02327,1.60027,7.70575,0.54271,2.82536,1.63972,0.000490728,0.000490728,0.000490728
44,137.785,0.90043,3.05453,0.31139,1.37723,0.94465,0.01,0.85714,0.39723,0.22728,0.00333,0.28571,0.14871,0.02327,1.60027,7.70575,0.54271,2.82536,1.63972,0.000493898,0.000493898,0.000493898
45,140.893,0.74656,3.19157,0.31629,1.27,0.92082,0.01083,0.92857,0.42062,0.21397,0.005,0.42857,0.058,0.0167,1.55122,7.76064,0.57409,2.84103,1.67743,0.000496672,0.000496672,0.000496672
46,143.839,0.79982,2.7588,0.35732,1.2282,0.99029,0.01083,0.92857,0.42062,0.21397,0.005,0.42857,0.058,0.0167,1.55122,7.76064,0.57409,2.84103,1.67743,0.00049905,0.00049905,0.00049905
47,146.973,0.72126,3.09772,0.26785,1.4666,0.98672,0.01083,0.92857,0.37961,0.20614,0.00417,0.35714,0.16261,0.03414,1.61712,7.91809,0.6045,2.8711,1.75885,0.000501032,0.000501032,0.000501032
48,150.01,1.074,3.31416,0.29533,1.43053,1.09038,0.01083,0.92857,0.37961,0.20614,0.00417,0.35714,0.16261,0.03414,1.61712,7.91809,0.6045,2.8711,1.75885,0.000502618,0.000502618,0.000502618
49,153.074,0.88942,2.68832,0.31528,1.34823,1.10926,0.01083,0.92857,0.39982,0.20653,0.00417,0.35714,0.15959,0.03149,1.58034,8.14114,0.632,2.95625,1.80236,0.000503808,0.000503808,0.000503808
